,currency,avg market cap,observations,std,mean,spread std,spread mean,outlier (3std),profit,avg profit per day,corr to BTC,corr to S&P500,last timestamp
45,GXS,3364573.9251376176,436,0.5378407700744916,1.388509935528284,0.22772069710619217,0.19113149847094807,19,-0.1724386724386724,-0.000395501542290533,0.5775705074324379,0.40585372859315355,2021-07-22
46,ICX,9847132.190849999,1000,0.7659543880847103,0.7222450348899626,0.15082507444178936,0.09327643585614606,55,0.10574342458400421,0.0001057434245840042,0.9226343448095689,0.7191669416678724,2021-07-22
47,IOST,917938057.4203748,854,0.7912729627043307,0.7085266397210188,0.17556650247942113,0.09701156492725596,39,-0.46332046332046306,-0.0005425298165345001,0.9019886802750007,0.6835241574671688,2021-07-22
48,IOTA,13497645.498649977,1000,0.6905226260914943,0.7130243376463341,0.13350032700228193,0.0794790511398642,48,0.24568699938385707,0.0002456869993838571,0.8927248575848306,0.7054365390973993,2021-07-22
49,IOTX,175026476.11183146,617,0.7375696351081733,0.6857792394926715,0.15777441312751192,0.09981926657768829,28,0.6636168766664923,0.001075554095083456,0.9019187427711292,0.7427063612304806,2021-07-22
50,KLAY,3501539.5862068967,29,0.0518856997492269,1.0224684371078785,0.10406309023173003,0.1048208155019705,2,-0.4355991889873012,-0.015020661689217283,0.9162613425265544,-0.2674829475738989,2021-07-22
51,KMD,2102759.0943352575,346,1.3517928904116938,1.7951755566630438,0.3326107616110508,0.2731304815985622,19,-0.37177470106985533,-0.0010744933556932235,0.7819221763462751,0.5567620713086633,2021-07-22
52,KNC,4782191.515573891,406,0.5765004568484069,1.2870486016834106,0.14231122982091854,0.1688258795236803,19,-0.04566929133858255,-0.0001124859392575925,0.7709722028755005,0.5586442954767281,2021-07-22
53,KSM,145410.3167549689,322,0.9321737835059478,1.1125900812799194,0.22393072495666644,0.17074838721585944,9,0.7340267459138187,0.0022795861674342194,0.835189662031223,0.7677176111974668,2021-07-22
54,LEND,23286105.60662252,151,0.46072432823187287,0.6810673822105163,0.09595234834756505,0.10651947033053244,8,0.8880039820806374,0.005880821073381704,,0.9072272883035426,2021-07-22
55,LINK,8227387.211676829,919,0.716664154944103,0.625443790138471,0.1198802932212385,0.07540823003122189,39,0.9769607843137252,0.001063069406217329,0.9407705137948431,0.8784996453896223,2021-07-22
56,LRC,24159393.74729063,406,0.9293997031689412,1.534991593895532,0.2190957532238806,0.22039028029901514,14,0.15417611675377174,0.0003797441299353984,0.8978473257828412,0.6476096120244865,2021-07-22
57,LSK,1216262.9720075033,533,0.7076009606680235,0.9373241113907619,0.1945816754194865,0.13436998545346707,25,0.35328447935407425,0.000662822662953235,0.8285311063638221,0.6605866228425941,2021-07-22
58,LTC,751287.4478550807,1000,0.5330191215916379,0.7397387280292093,0.09377222606793302,0.07024216693555242,42,0.5605841895219494,0.0005605841895219494,0.9123089252809279,0.7500760046908476,2021-07-22
59,LUNA,9902413.980869051,336,0.9484106183997236,0.8376955782312924,0.15279926032880434,0.1162926969729691,22,0.9385185185185184,0.0027932098765432096,0.8685634517083898,0.6659257935156533,2021-07-22
60,MANA,43169942.0025926,351,0.7474883069021621,0.7359631103251795,0.1550675856044701,0.11536757048826017,16,0.838448275862069,0.0023887415266725612,0.7969937860587495,0.7712546233490436,2021-07-22
61,MATIC,480140068.4997551,819,0.4512580463503392,0.19634704061947983,0.12178603243704147,0.03606148793242368,27,1.0344486195801363,0.001263063027570374,0.5725321084845502,0.6812814782576633,2021-07-22
62,MCO,68962.5549382353,340,64.02095812206012,5.140598851005371,64.0280097692048,3.58087298613713,1,-1181.1461429582448,-3.4739592439948375,0.2498864205482358,0.06132724761347187,2021-07-22
63,MITH,102354622.03704603,826,0.7127788408509581,0.6025922307174502,0.2235594439884145,0.10968786734048004,36,-1.6320020746887962,-0.001975789436669245,0.6489514926953117,0.4877842590740123,2021-07-22
64,MKR,6011.392317917809,365,0.5422234870687916,0.709756230978995,0.12068128911075816,0.0941932428918351,18,0.6683963713062887,0.0018312229350857226,0.7870961916935084,0.8389981538962507,2021-07-22
65,MLN,64383.26444444443,18,0.14590294448789268,1.162627253198842,0.25850502548740134,0.21061766445627475,1,-1.306948725133091,-0.07260826250739394,0.9174998357712024,0.441342922545175,2021-07-22
66,NANO,1521958.084299289,842,0.6547635507490434,0.600760484900715,0.20168744063963726,0.08999262908429567,30,0.54274798358568,0.0006445938047335867,0.8834436485653655,0.7832336747683001,2021-07-22
67,NEO,858462.0606480001,1000,0.6940735167266247,0.6858165334862215,0.14430311628747908,0.07737492385423,38,0.4183179847350129,0.0004183179847350129,0.8550065403759145,0.7536837054702362,2021-07-22
68,NMR,76961.31952662721,338,0.4604032726700624,1.2527106014635023,0.17156807037437613,0.17883858387829468,14,-0.6185872647589588,-0.0018301398365649668,0.6680767334071546,0.4921884928054308,2021-07-22
69,NPXS,3972222960.8770766,602,0.17652947375986036,0.07202260542706292,0.040500783295019945,0.012012038095486476,24,0.9602439195345902,0.0015950895673332063,-0.10344079028070918,0.46490611991189285,2021-07-22
70,NULS,1872132.30927,1000,0.7953698722755231,1.4358605754968827,0.1669295298573521,0.16117917531889636,45,-2.4194601008602783,-0.0024194601008602785,0.4243461238370784,0.1917791073706774,2021-07-22
71,OMG,3207778.668646079,842,0.6477489935984838,0.7839615964639207,0.14750343955766432,0.10161916095698113,36,0.29068760464176435,0.00034523468484770115,0.8650627517202297,0.8106525694466064,2021-07-22
72,ONT,19216758.058536973,1000,0.6630959391393586,1.4018398890158303,0.16471781122056287,0.14987889668679624,44,-1.9012567324955114,-0.0019012567324955113,0.44368838618401213,0.2537904617206877,2021-07-22
73,QTUM,2574605.4377369946,1000,0.6801470376500739,0.6803714550509742,0.17498198328578501,0.08561241890639475,34,0.23725671918442992,0.00023725671918442992,0.7848130185651783,0.6678799569218166,2021-07-22
74,REP,100668.65337192106,406,0.5850300960795106,1.3868575906572178,0.17143815143975108,0.18009882357138407,21,-0.02422426172192016,-5.96656692658132e-05,0.7933929262886587,0.48407341410958393,2021-07-22
75,RLC,2781921.4592868728,617,0.6253388239317469,0.6114296326310099,0.25460098326664915,0.11323105822555923,15,0.6877976190476192,0.0011147449255228836,0.6722319045965766,0.7159263262584075,2021-07-22
76,RUNE,6053161.2365124235,322,1.1905648274489722,1.1941908132312586,0.2658334836611112,0.2046157012855699,14,0.732093023255814,0.00227358081756464,0.739458496447308,0.7679149526916892,2021-07-22
77,SC,808449005.0078534,382,1.0267956294331164,1.026672000181063,0.24876309166793226,0.16150117765375543,18,0.7064185696833006,0.001849263271422253,0.8121753845977908,0.7121262307527484,2021-07-22
78,SNX,1617563.6077889176,379,0.7898212406292893,1.2500081627829964,0.16735802163719138,0.18036796270929753,17,0.6174425456688275,0.0016291360044032388,0.9085688530435034,0.6472926637712443,2021-07-22
79,SOL,4286235.308846816,346,0.5634824906629057,0.5484820691503152,0.11849547216450268,0.08222215440318016,15,0.8847524900771363,0.0025570881216102205,0.6299878256920122,0.8581829721339939,2021-07-22
